feature,level,encounters,patients,positives,negatives,rate,cluster_se,ci_low,ci_high,sparse,count
number_outpatient,4,1011,831,154,857,0.152324431256182,0.011813686238446043,0.1291700317041713,0.1754788308081927,False,4
number_outpatient,5,484,428,56,428,0.11570247933884298,0.014728289705961033,0.08683556196128733,0.14456939671639862,False,5
number_outpatient,6,279,231,39,240,0.13978494623655913,0.020891366456489945,0.09883862039401067,0.18073127207910758,False,6
number_outpatient,7,147,124,21,126,0.14285714285714285,0.026686628567616114,0.09055231199581755,0.19516197371846816,False,7
number_outpatient,8,91,86,5,86,0.054945054945054944,,,,True,8
number_outpatient,9,81,71,12,69,0.14814814814814814,0.03652798605006875,0.0765546110622319,0.2197416852340644,False,9
number_outpatient,10,55,50,5,50,0.09090909090909091,,,,True,10
number_outpatient,11,41,33,6,35,0.14634146341463414,,,,True,11
number_outpatient,12,27,26,4,23,0.14814814814814814,,,,True,12
number_outpatient,13,28,24,6,22,0.21428571428571427,,,,True,13
number_outpatient,14,27,24,5,22,0.18518518518518517,,,,True,14
number_outpatient,15,19,18,2,17,0.10526315789473684,,,,True,15
number_outpatient,16,12,12,0,12,0.0,,,,True,16
number_outpatient,17,8,8,1,7,0.125,,,,True,17
number_outpatient,18,4,4,0,4,0.0,,,,True,18
number_outpatient,19,3,3,1,2,0.3333333333333333,,,,True,19
number_outpatient,20,6,6,0,6,0.0,,,,True,20
number_outpatient,21,6,6,0,6,0.0,,,,True,21
number_outpatient,22,5,5,1,4,0.2,,,,True,22
number_outpatient,23,2,2,1,1,0.5,,,,True,23
number_outpatient,24,3,3,0,3,0.0,,,,True,24
number_outpatient,25,1,1,0,1,0.0,,,,True,25
number_outpatient,26,1,1,0,1,0.0,,,,True,26
number_outpatient,27,3,3,0,3,0.0,,,,True,27
number_outpatient,28,1,1,0,1,0.0,,,,True,28
number_outpatient,29,2,2,0,2,0.0,,,,True,29
number_outpatient,33,2,2,0,2,0.0,,,,True,33
number_outpatient,34,1,1,0,1,0.0,,,,True,34
number_outpatient,35,2,2,0,2,0.0,,,,True,35
number_outpatient,36,1,1,0,1,0.0,,,,True,36
number_outpatient,37,1,1,0,1,0.0,,,,True,37
number_outpatient,38,1,1,0,1,0.0,,,,True,38
number_outpatient,39,1,1,0,1,0.0,,,,True,39
number_outpatient,40,1,1,1,0,1.0,,,,True,40
number_outpatient,42,1,1,0,1,0.0,,,,True,42
