feature,category,train_count,encoded_as
medical_specialty,Hematology/Oncology,121,Hematology/Oncology
medical_specialty,Pediatrics-Endocrinology,99,Other
medical_specialty,Otolaryngology,80,Other
medical_specialty,Endocrinology,79,Other
medical_specialty,Surgery-Thoracic,77,Other
medical_specialty,Podiatry,74,Other
medical_specialty,Surgery-Cardiovascular,72,Other
medical_specialty,Pediatrics-CriticalCare,69,Other
medical_specialty,Hematology,59,Other
medical_specialty,Psychology,56,Other
medical_specialty,Gynecology,39,Other
medical_specialty,Hospitalist,38,Other
medical_specialty,Radiology,30,Other
medical_specialty,Surgeon,28,Other
medical_specialty,Ophthalmology,27,Other
medical_specialty,Surgery-Plastic,25,Other
medical_specialty,SurgicalSpecialty,24,Other
medical_specialty,InfectiousDiseases,21,Other
medical_specialty,Osteopath,20,Other
medical_specialty,Obstetrics,14,Other
medical_specialty,Obsterics&Gynecology-GynecologicOnco,12,Other
medical_specialty,Anesthesiology-Pediatric,12,Other
medical_specialty,Pediatrics-Pulmonology,11,Other
medical_specialty,Rheumatology,10,Other
medical_specialty,PhysicianNotFound,9,Other
medical_specialty,Pathology,9,Other
medical_specialty,Anesthesiology,8,Other
medical_specialty,Surgery-Maxillofacial,8,Other
medical_specialty,Pediatrics-Neurology,8,Other
medical_specialty,OutreachServices,7,Other
medical_specialty,Surgery-Pediatric,7,Other
medical_specialty,Surgery-Colon&Rectal,6,Other
medical_specialty,Psychiatry-Child/Adolescent,5,Other
medical_specialty,Cardiology-Pediatric,5,Other
medical_specialty,DCPTEAM,5,Other
medical_specialty,AllergyandImmunology,4,Other
medical_specialty,Endocrinology-Metabolism,4,Other
medical_specialty,Pediatrics-AllergyandImmunology,3,Other
medical_specialty,Pediatrics-Hematology-Oncology,2,Other
medical_specialty,Resident,2,Other
medical_specialty,Pediatrics-EmergencyMedicine,2,Other
medical_specialty,Dermatology,1,Other
medical_specialty,SportsMedicine,1,Other
medical_specialty,Speech,1,Other
medical_specialty,Perinatology,1,Other
medical_specialty,Neurophysiology,1,Other
medical_specialty,Pediatrics-InfectiousDiseases,1,Other
medical_specialty,Dentistry,1,Other
medical_specialty,Proctology,1,Other
diag_1,428,4220,428
diag_1,414,3938,414
diag_1,786,2579,786
diag_1,486,2218,486
diag_1,410,1905,410
diag_1,427,1757,427
diag_1,491,1467,491
diag_1,715,1359,715
diag_1,682,1290,682
diag_1,780,1269,780
diag_1,996,1243,996
diag_1,434,1204,434
diag_1,276,1183,276
diag_1,250.8,1079,250.8
diag_1,599,1027,599
diag_1,38,963,38
diag_1,584,951,584
diag_1,250.6,775,250.6
diag_1,493,696,493
diag_1,435,685,435
diag_1,577,684,577
diag_1,V57,673,V57
diag_1,562,660,562
diag_1,820,655,820
diag_1,574,627,574
diag_1,518,591,518
diag_1,250.13,579,250.13
diag_1,296,577,296
diag_1,560,572,560
diag_1,440,559,440
diag_1,250.7,517,250.7
diag_1,433,492,433
diag_1,998,484,998
diag_1,722,480,722
diag_1,250.02,442,250.02
diag_1,578,438,578
diag_1,250.11,432,250.11
diag_1,789,392,789
diag_1,453,359,453
diag_1,530,351,530
diag_1,8,332,8
diag_1,507,322,507
diag_1,403,318,403
diag_1,724,299,724
diag_1,402,297,402
diag_1,415,292,415
diag_1,458,285,458
diag_1,535,280,535
diag_1,278,274,278
diag_1,295,267,295
diag_1,250.82,264,250.82
diag_1,250.12,264,250.12
diag_1,997,259,997
diag_1,592,243,592
diag_1,285,243,285
diag_1,401,240,401
diag_1,733,230,733
diag_1,558,230,558
diag_1,590,224,590
diag_1,162,218,162
diag_1,280,214,280
diag_1,482,207,482
diag_1,824,205,824
diag_1,250.1,201,250.1
diag_1,569,185,569
diag_1,153,183,153
diag_1,648,182,648
diag_1,404,179,404
diag_1,531,176,531
diag_1,250.4,175,250.4
diag_1,787,175,787
diag_1,426,173,426
diag_1,466,169,466
diag_1,571,165,571
diag_1,707,164,707
diag_1,197,163,197
diag_1,511,163,511
diag_1,730,161,730
diag_1,250,160,250
diag_1,V58,158,V58
diag_1,552,157,552
diag_1,532,153,532
diag_1,812,144,812
diag_1,600,141,600
diag_1,575,140,575
diag_1,805,139,805
diag_1,572,139,572
diag_1,540,133,540
diag_1,198,132,198
diag_1,411,132,411
diag_1,250.03,128,250.03
diag_1,250.81,126,250.81
diag_1,721,118,721
diag_1,185,115,185
diag_1,618,113,618
diag_1,331,112,331
diag_1,436,103,436
diag_1,557,103,557
diag_1,564,101,564
diag_1,424,100,424
diag_1,553,98,Other
diag_1,386,95,Other
diag_1,821,93,Other
diag_1,790,93,Other
diag_1,174,90,Other
diag_1,444,90,Other
diag_1,823,89,Other
diag_1,189,89,Other
diag_1,784,88,Other
diag_1,348,88,Other
diag_1,250.22,87,Other
diag_1,398,86,Other
diag_1,536,85,Other
diag_1,808,84,Other
diag_1,182,82,Other
diag_1,218,80,Other
diag_1,728,79,Other
diag_1,681,78,Other
diag_1,781,77,Other
diag_1,441,77,Other
diag_1,250.2,75,Other
diag_1,431,75,Other
diag_1,413,75,Other
diag_1,537,74,Other
diag_1,515,74,Other
diag_1,188,71,Other
diag_1,459,71,Other
diag_1,292,71,Other
diag_1,729,70,Other
diag_1,274,70,Other
diag_1,345,69,Other
diag_1,487,68,Other
diag_1,443,67,Other
diag_1,346,64,Other
diag_1,785,64,Other
diag_1,202,61,Other
diag_1,726,61,Other
diag_1,294,61,Other
diag_1,593,61,Other
diag_1,211,61,Other
diag_1,566,60,Other
diag_1,79,59,Other
diag_1,807,59,Other
diag_1,287,59,Other
diag_1,250.42,59,Other
diag_1,813,59,Other
diag_1,288,58,Other
diag_1,654,58,Other
diag_1,490,58,Other
diag_1,437,57,Other
diag_1,157,56,Other
diag_1,496,56,Other
diag_1,300,56,Other
diag_1,455,56,Other
diag_1,282,56,Other
diag_1,782,55,Other
diag_1,154,55,Other
diag_1,626,53,Other
diag_1,852,53,Other
diag_1,250.83,53,Other
diag_1,250.41,53,Other
diag_1,425,53,Other
diag_1,438,53,Other
diag_1,576,53,Other
diag_1,432,52,Other
diag_1,595,51,Other
diag_1,642,49,Other
diag_1,995,49,Other
diag_1,112,49,Other
diag_1,481,48,Other
diag_1,416,48,Other
diag_1,423,48,Other
diag_1,290,46,Other
diag_1,608,46,Other
diag_1,291,45,Other
diag_1,711,44,Other
diag_1,723,44,Other
diag_1,238,44,Other
diag_1,V55,42,Other
diag_1,250.01,42,Other
diag_1,620,41,Other
diag_1,719,41,Other
diag_1,585,41,Other
diag_1,447,40,Other
diag_1,151,38,Other
diag_1,420,37,Other
diag_1,303,37,Other
diag_1,53,37,Other
diag_1,567,37,Other
diag_1,625,37,Other
diag_1,284,36,Other
diag_1,332,36,Other
diag_1,799,35,Other
diag_1,738,35,Other
diag_1,253,34,Other
diag_1,311,34,Other
diag_1,298,34,Other
diag_1,924,33,Other
diag_1,250.92,33,Other
diag_1,822,33,Other
diag_1,275,33,Other
diag_1,550,33,Other
diag_1,965,33,Other
diag_1,850,33,Other
diag_1,788,32,Other
diag_1,716,32,Other
diag_1,241,31,Other
diag_1,V53,30,Other
diag_1,555,30,Other
diag_1,220,30,Other
diag_1,70,30,Other
diag_1,V54,29,Other
diag_1,512,29,Other
diag_1,9,29,Other
diag_1,962,29,Other
diag_1,959,29,Other
diag_1,519,29,Other
diag_1,340,29,Other
diag_1,556,29,Other
diag_1,42,28,Other
diag_1,922,28,Other
diag_1,727,28,Other
diag_1,604,28,Other
diag_1,227,28,Other
diag_1,155,27,Other
diag_1,969,27,Other
diag_1,191,27,Other
diag_1,286,26,Other
diag_1,225,26,Other
diag_1,465,26,Other
diag_1,596,25,Other
diag_1,309,25,Other
diag_1,451,25,Other
diag_1,293,25,Other
diag_1,514,25,Other
diag_1,516,24,Other
diag_1,714,23,Other
diag_1,802,23,Other
diag_1,844,23,Other
diag_1,644,23,Other
diag_1,239,22,Other
diag_1,783,22,Other
diag_1,349,22,Other
diag_1,429,22,Other
diag_1,203,22,Other
diag_1,611,22,Other
diag_1,193,21,Other
diag_1,485,21,Other
diag_1,304,21,Other
diag_1,510,21,Other
diag_1,233,21,Other
diag_1,573,21,Other
diag_1,421,21,Other
diag_1,442,21,Other
diag_1,492,20,Other
diag_1,794,20,Other
diag_1,659,20,Other
diag_1,380,20,Other
diag_1,250.23,20,Other
diag_1,396,20,Other
diag_1,351,20,Other
diag_1,150,19,Other
diag_1,252,19,Other
diag_1,183,19,Other
diag_1,283,19,Other
diag_1,522,18,Other
diag_1,47,18,Other
diag_1,307,18,Other
diag_1,801,18,Other
diag_1,494,18,Other
diag_1,305,17,Other
diag_1,446,17,Other
diag_1,851,17,Other
diag_1,616,17,Other
diag_1,568,17,Other
diag_1,710,17,Other
diag_1,250.43,17,Other
diag_1,333,17,Other
diag_1,327,17,Other
diag_1,135,16,Other
diag_1,617,16,Other
diag_1,534,16,Other
diag_1,242,16,Other
diag_1,478,16,Other
diag_1,999,16,Other
diag_1,627,16,Other
diag_1,621,16,Other
diag_1,338,16,Other
diag_1,591,15,Other
diag_1,586,15,Other
diag_1,658,15,Other
diag_1,527,15,Other
diag_1,614,15,Other
diag_1,235,15,Other
diag_1,196,15,Other
diag_1,533,15,Other
diag_1,Unknown,14,Unknown
diag_1,480,14,Other
diag_1,473,14,Other
diag_1,920,14,Other
diag_1,289,14,Other
diag_1,661,14,Other
diag_1,860,14,Other
diag_1,357,14,Other
diag_1,718,14,Other
diag_1,255,13,Other
diag_1,825,13,Other
diag_1,456,13,Other
diag_1,656,13,Other
diag_1,277,13,Other
diag_1,281,13,Other
diag_1,430,12,Other
diag_1,853,12,Other
diag_1,204,12,Other
diag_1,461,12,Other
diag_1,250.33,12,Other
diag_1,312,12,Other
diag_1,693,12,Other
diag_1,607,12,Other
diag_1,840,12,Other
diag_1,958,12,Other
diag_1,601,12,Other
diag_1,V56,12,Other
diag_1,226,11,Other
diag_1,513,11,Other
diag_1,250.93,11,Other
diag_1,945,10,Other
diag_1,664,10,Other
diag_1,250.31,10,Other
diag_1,972,10,Other
diag_1,378,10,Other
diag_1,581,10,Other
diag_1,250.3,10,Other
diag_1,205,10,Other
diag_1,652,10,Other
diag_1,199,10,Other
diag_1,355,9,Other
diag_1,521,9,Other
diag_1,989,9,Other
diag_1,350,9,Other
diag_1,594,9,Other
diag_1,251,9,Other
diag_1,158,9,Other
diag_1,5,9,Other
diag_1,230,9,Other
diag_1,152,9,Other
diag_1,867,9,Other
diag_1,756,8,Other
diag_1,200,8,Other
diag_1,263,8,Other
diag_1,565,8,Other
diag_1,528,8,Other
diag_1,250.21,8,Other
diag_1,475,8,Other
diag_1,310,8,Other
diag_1,873,8,Other
diag_1,810,8,Other
diag_1,323,8,Other
diag_1,297,8,Other
diag_1,660,8,Other
diag_1,933,8,Other
diag_1,736,8,Other
diag_1,695,8,Other
diag_1,831,8,Other
diag_1,184,8,Other
diag_1,368,8,Other
diag_1,250.32,8,Other
diag_1,156,7,Other
diag_1,342,7,Other
diag_1,977,7,Other
diag_1,362,7,Other
diag_1,171,7,Other
diag_1,3,7,Other
diag_1,891,7,Other
diag_1,V71,7,Other
diag_1,952,7,Other
diag_1,244,7,Other
diag_1,847,7,Other
diag_1,680,7,Other
diag_1,935,7,Other
diag_1,358,7,Other
diag_1,588,7,Other
diag_1,892,7,Other
diag_1,88,7,Other
diag_1,967,7,Other
diag_1,843,7,Other
diag_1,725,7,Other
diag_1,464,7,Other
diag_1,462,7,Other
diag_1,526,6,Other
diag_1,306,6,Other
diag_1,717,6,Other
diag_1,708,6,Other
diag_1,745,6,Other
diag_1,35,6,Other
diag_1,163,6,Other
diag_1,541,6,Other
diag_1,685,6,Other
diag_1,383,6,Other
diag_1,737,6,Other
diag_1,335,6,Other
diag_1,11,6,Other
diag_1,354,6,Other
diag_1,709,6,Other
diag_1,646,6,Other
diag_1,457,6,Other
diag_1,861,6,Other
diag_1,273,6,Other
diag_1,337,6,Other
diag_1,117,6,Other
diag_1,882,5,Other
diag_1,991,5,Other
diag_1,445,5,Other
diag_1,598,5,Other
diag_1,34,5,Other
diag_1,705,5,Other
diag_1,964,5,Other
diag_1,694,5,Other
diag_1,214,5,Other
diag_1,968,5,Other
diag_1,883,5,Other
diag_1,41,5,Other
diag_1,341,5,Other
diag_1,579,5,Other
diag_1,845,5,Other
diag_1,353,5,Other
diag_1,161,5,Other
diag_1,320,5,Other
diag_1,641,5,Other
diag_1,376,5,Other
diag_1,865,5,Other
diag_1,816,5,Other
diag_1,54,5,Other
diag_1,82,5,Other
diag_1,344,5,Other
diag_1,250.5,5,Other
diag_1,864,5,Other
diag_1,619,5,Other
diag_1,751,5,Other
diag_1,942,5,Other
diag_1,992,5,Other
diag_1,983,5,Other
diag_1,V45,4,Other
diag_1,890,4,Other
diag_1,674,4,Other
diag_1,623,4,Other
diag_1,655,4,Other
diag_1,454,4,Other
diag_1,893,4,Other
diag_1,141,4,Other
diag_1,854,4,Other
diag_1,388,4,Other
diag_1,210,4,Other
diag_1,483,4,Other
diag_1,379,4,Other
diag_1,175,4,Other
diag_1,78,4,Other
diag_1,647,4,Other
diag_1,394,4,Other
diag_1,201,4,Other
diag_1,663,4,Other
diag_1,692,4,Other
diag_1,223,4,Other
diag_1,452,4,Other
diag_1,731,4,Other
diag_1,179,4,Other
diag_1,923,4,Other
diag_1,172,4,Other
diag_1,66,4,Other
diag_1,570,4,Other
diag_1,228,4,Other
diag_1,212,4,Other
diag_1,551,4,Other
diag_1,301,4,Other
diag_1,734,3,Other
diag_1,146,3,Other
diag_1,696,3,Other
diag_1,474,3,Other
diag_1,800,3,Other
diag_1,524,3,Other
diag_1,879,3,Other
diag_1,250.9,3,Other
diag_1,245,3,Other
diag_1,966,3,Other
diag_1,792,3,Other
diag_1,970,3,Other
diag_1,136,3,Other
diag_1,374,3,Other
diag_1,886,3,Other
diag_1,632,3,Other
diag_1,377,3,Other
diag_1,986,3,Other
diag_1,916,3,Other
diag_1,272,3,Other
diag_1,720,3,Other
diag_1,470,3,Other
diag_1,934,3,Other
diag_1,826,3,Other
diag_1,V63,3,Other
diag_1,173,3,Other
diag_1,180,3,Other
diag_1,796,3,Other
diag_1,324,3,Other
diag_1,405,3,Other
diag_1,686,3,Other
diag_1,971,3,Other
diag_1,746,3,Other
diag_1,94,3,Other
diag_1,793,3,Other
diag_1,665,3,Other
diag_1,603,3,Other
diag_1,361,3,Other
diag_1,814,3,Other
diag_1,195,3,Other
diag_1,529,3,Other
diag_1,836,3,Other
diag_1,881,3,Other
diag_1,31,3,Other
diag_1,271,3,Other
diag_1,308,3,Other
diag_1,866,3,Other
diag_1,236,3,Other
diag_1,622,3,Other
diag_1,747,3,Other
diag_1,759,3,Other
diag_1,797,2,Other
diag_1,142,2,Other
diag_1,262,2,Other
diag_1,246,2,Other
diag_1,653,2,Other
diag_1,49,2,Other
diag_1,194,2,Other
diag_1,27,2,Other
diag_1,880,2,Other
diag_1,164,2,Other
diag_1,359,2,Other
diag_1,602,2,Other
diag_1,250.91,2,Other
diag_1,753,2,Other
diag_1,706,2,Other
diag_1,417,2,Other
diag_1,131,2,Other
diag_1,732,2,Other
diag_1,669,2,Other
diag_1,V26,2,Other
diag_1,862,2,Other
diag_1,352,2,Other
diag_1,871,2,Other
diag_1,610,2,Other
diag_1,914,2,Other
diag_1,360,2,Other
diag_1,795,2,Other
diag_1,944,2,Other
diag_1,506,2,Other
diag_1,336,2,Other
diag_1,250.52,2,Other
diag_1,941,2,Other
diag_1,250.53,2,Other
diag_1,657,2,Other
diag_1,370,2,Other
diag_1,703,2,Other
diag_1,806,2,Other
diag_1,835,2,Other
diag_1,815,2,Other
diag_1,508,2,Other
diag_1,495,2,Other
diag_1,397,2,Other
diag_1,279,2,Other
diag_1,500,2,Other
diag_1,928,2,Other
diag_1,322,2,Other
diag_1,23,2,Other
diag_1,643,2,Other
diag_1,633,2,Other
diag_1,58,2,Other
diag_1,987,2,Other
diag_1,863,2,Other
diag_1,215,2,Other
diag_1,208,2,Other
diag_1,369,2,Other
diag_1,580,1,Other
diag_1,834,1,Other
diag_1,980,1,Other
diag_1,691,1,Other
diag_1,250.51,1,Other
diag_1,848,1,Other
diag_1,917,1,Other
diag_1,448,1,Other
diag_1,149,1,Other
diag_1,838,1,Other
diag_1,V43,1,Other
diag_1,334,1,Other
diag_1,477,1,Other
diag_1,318,1,Other
diag_1,471,1,Other
diag_1,868,1,Other
diag_1,683,1,Other
diag_1,187,1,Other
diag_1,375,1,Other
diag_1,237,1,Other
diag_1,347,1,Other
diag_1,395,1,Other
diag_1,735,1,Other
diag_1,870,1,Other
diag_1,817,1,Other
diag_1,684,1,Other
diag_1,314,1,Other
diag_1,36,1,Other
diag_1,57,1,Other
diag_1,7,1,Other
diag_1,915,1,Other
diag_1,988,1,Other
diag_1,384,1,Other
diag_1,842,1,Other
diag_1,V25,1,Other
diag_1,110,1,Other
diag_1,115,1,Other
diag_1,363,1,Other
diag_1,698,1,Other
diag_1,366,1,Other
diag_1,299,1,Other
diag_1,700,1,Other
diag_1,98,1,Other
diag_1,605,1,Other
diag_1,52,1,Other
diag_1,84,1,Other
diag_1,645,1,Other
diag_1,895,1,Other
diag_1,523,1,Other
diag_1,372,1,Other
diag_1,921,1,Other
diag_1,542,1,Other
diag_1,V07,1,Other
diag_1,422,1,Other
diag_1,583,1,Other
diag_1,615,1,Other
diag_1,39,1,Other
diag_1,919,1,Other
diag_1,217,1,Other
diag_1,229,1,Other
diag_1,963,1,Other
diag_1,160,1,Other
diag_1,240,1,Other
diag_1,147,1,Other
diag_1,381,1,Other
diag_1,356,1,Other
diag_1,846,1,Other
diag_1,649,1,Other
diag_1,192,1,Other
diag_1,875,1,Other
diag_1,911,1,Other
diag_1,832,1,Other
diag_1,385,1,Other
diag_1,463,1,Other
diag_1,975,1,Other
diag_1,833,1,Other
diag_1,391,1,Other
diag_1,878,1,Other
diag_1,791,1,Other
diag_1,634,1,Other
diag_1,365,1,Other
diag_1,266,1,Other
diag_1,885,1,Other
diag_1,389,1,Other
diag_1,V67,1,Other
diag_1,501,1,Other
diag_1,994,1,Other
diag_1,207,1,Other
diag_1,373,1,Other
diag_1,827,1,Other
diag_1,V60,1,Other
diag_1,973,1,Other
diag_1,640,1,Other
diag_1,261,1,Other
diag_1,671,1,Other
diag_1,913,1,Other
diag_2,276,4289,276
diag_2,428,4045,428
diag_2,250,3901,250
diag_2,427,3124,427
diag_2,401,2366,401
diag_2,599,2077,599
diag_2,496,2036,496
diag_2,403,1806,403
diag_2,414,1596,414
diag_2,411,1451,411
diag_2,250.02,1341,250.02
diag_2,707,1216,707
diag_2,585,1205,585
diag_2,285,1021,285
diag_2,584,1010,584
diag_2,491,999,491
diag_2,682,922,682
diag_2,780,905,780
diag_2,250.01,899,250.01
diag_2,425,893,425
diag_2,486,837,486
diag_2,518,757,518
diag_2,424,658,424
diag_2,413,653,413
diag_2,493,557,493
diag_2,250.6,524,250.6
diag_2,305,446,305
diag_2,786,437,786
diag_2,280,395,280
diag_2,998,359,998
diag_2,511,315,511
diag_2,785,303,785
diag_2,996,296,996
diag_2,410,288,410
diag_2,38,276,38
diag_2,272,270,272
diag_2,577,261,577
diag_2,788,260,788
diag_2,571,258,571
diag_2,997,256,997
diag_2,V45,254,V45
diag_2,41,245,41
diag_2,Unknown,235,Unknown
diag_2,402,233,402
diag_2,440,232,440
diag_2,560,228,560
diag_2,162,228,162
diag_2,197,226,197
diag_2,574,224,574
diag_2,648,224,648
diag_2,295,224,295
diag_2,789,224,789
diag_2,453,217,453
diag_2,287,214,287
diag_2,578,209,578
diag_2,799,194,799
diag_2,198,193,198
diag_2,278,190,278
diag_2,303,187,303
diag_2,530,184,530
diag_2,426,178,426
diag_2,70,174,70
diag_2,V42,171,V42
diag_2,438,171,438
diag_2,591,156,591
diag_2,730,151,730
diag_2,250.03,148,250.03
diag_2,787,142,787
diag_2,790,140,790
diag_2,404,138,404
diag_2,112,137,112
diag_2,536,134,536
diag_2,250.8,132,250.8
diag_2,196,131,196
diag_2,492,130,492
diag_2,342,126,342
diag_2,8,126,8
diag_2,250.92,125,250.92
diag_2,784,124,784
diag_2,535,124,535
diag_2,250.41,123,250.41
diag_2,733,121,733
diag_2,569,117,569
diag_2,250.82,116,250.82
diag_2,515,115,515
diag_2,202,115,202
diag_2,710,112,710
diag_2,396,111,396
diag_2,250.4,108,250.4
diag_2,V85,108,V85
diag_2,304,106,304
diag_2,263,106,263
diag_2,296,103,296
diag_2,434,99,Other
diag_2,284,98,Other
diag_2,294,98,Other
diag_2,V58,98,Other
diag_2,244,96,Other
diag_2,724,95,Other
diag_2,562,95,Other
diag_2,V43,93,Other
diag_2,433,93,Other
diag_2,507,92,Other
diag_2,300,92,Other
diag_2,458,91,Other
diag_2,204,91,Other
diag_2,590,90,Other
diag_2,722,89,Other
diag_2,V15,85,Other
diag_2,250.7,83,Other
diag_2,728,83,Other
diag_2,E888,82,Other
diag_2,781,80,Other
diag_2,153,76,Other
diag_2,593,76,Other
diag_2,340,76,Other
diag_2,286,74,Other
diag_2,E885,74,Other
diag_2,348,74,Other
diag_2,466,71,Other
diag_2,558,69,Other
diag_2,995,68,Other
diag_2,715,67,Other
diag_2,V10,67,Other
diag_2,729,67,Other
diag_2,412,66,Other
diag_2,444,66,Other
diag_2,331,65,Other
diag_2,135,65,Other
diag_2,250.13,65,Other
diag_2,564,62,Other
diag_2,250.42,62,Other
diag_2,203,61,Other
diag_2,719,60,Other
diag_2,E878,60,Other
diag_2,242,60,Other
diag_2,250.12,59,Other
diag_2,567,59,Other
diag_2,482,59,Other
diag_2,42,58,Other
diag_2,435,58,Other
diag_2,805,57,Other
diag_2,250.81,57,Other
diag_2,415,57,Other
diag_2,357,54,Other
diag_2,416,54,Other
diag_2,592,53,Other
diag_2,731,52,Other
diag_2,443,52,Other
diag_2,292,51,Other
diag_2,311,51,Other
diag_2,581,51,Other
diag_2,250.11,50,Other
diag_2,572,48,Other
diag_2,291,47,Other
diag_2,293,47,Other
diag_2,782,46,Other
diag_2,288,46,Other
diag_2,157,46,Other
diag_2,553,46,Other
diag_2,255,46,Other
diag_2,595,45,Other
diag_2,397,45,Other
diag_2,576,45,Other
diag_2,V12,44,Other
diag_2,568,44,Other
diag_2,344,44,Other
diag_2,V62,44,Other
diag_2,301,43,Other
diag_2,250.52,43,Other
diag_2,277,42,Other
diag_2,205,41,Other
diag_2,794,41,Other
diag_2,456,40,Other
diag_2,250.51,40,Other
diag_2,V54,40,Other
diag_2,723,39,Other
diag_2,465,39,Other
diag_2,575,39,Other
diag_2,459,39,Other
diag_2,490,38,Other
diag_2,211,36,Other
diag_2,154,35,Other
diag_2,596,34,Other
diag_2,309,34,Other
diag_2,218,34,Other
diag_2,282,34,Other
diag_2,721,34,Other
diag_2,437,33,Other
diag_2,552,33,Other
diag_2,531,33,Other
diag_2,E849,33,Other
diag_2,250.5,32,Other
diag_2,820,32,Other
diag_2,289,32,Other
diag_2,337,32,Other
diag_2,625,30,Other
diag_2,807,30,Other
diag_2,711,29,Other
diag_2,812,29,Other
diag_2,573,29,Other
diag_2,189,29,Other
diag_2,E932,28,Other
diag_2,345,28,Other
diag_2,600,28,Other
diag_2,714,27,Other
diag_2,473,27,Other
diag_2,808,26,Other
diag_2,349,25,Other
diag_2,481,25,Other
diag_2,398,25,Other
diag_2,150,24,Other
diag_2,620,24,Other
diag_2,290,24,Other
diag_2,250.43,24,Other
diag_2,681,24,Other
diag_2,478,23,Other
diag_2,451,23,Other
diag_2,155,23,Other
diag_2,455,23,Other
diag_2,332,23,Other
diag_2,327,23,Other
diag_2,618,22,Other
diag_2,275,22,Other
diag_2,512,22,Other
diag_2,429,21,Other
diag_2,E942,21,Other
diag_2,79,21,Other
diag_2,250.22,21,Other
diag_2,516,21,Other
diag_2,873,21,Other
diag_2,726,21,Other
diag_2,441,21,Other
diag_2,447,20,Other
diag_2,446,20,Other
diag_2,802,20,Other
diag_2,362,20,Other
diag_2,358,20,Other
diag_2,519,20,Other
diag_2,850,20,Other
diag_2,253,20,Other
diag_2,727,19,Other
diag_2,138,19,Other
diag_2,274,18,Other
diag_2,537,18,Other
diag_2,346,18,Other
diag_2,V49,18,Other
diag_2,53,18,Other
diag_2,999,18,Other
diag_2,250.83,18,Other
diag_2,924,18,Other
diag_2,557,18,Other
diag_2,642,18,Other
diag_2,V63,18,Other
diag_2,E935,17,Other
diag_2,V65,17,Other
diag_2,813,17,Other
diag_2,738,16,Other
diag_2,368,16,Other
diag_2,614,16,Other
diag_2,94,16,Other
diag_2,200,16,Other
diag_2,583,16,Other
diag_2,250.93,16,Other
diag_2,532,15,Other
diag_2,312,15,Other
diag_2,616,15,Other
diag_2,420,15,Other
diag_2,E884,15,Other
diag_2,V64,15,Other
diag_2,174,15,Other
diag_2,611,15,Other
diag_2,626,15,Other
diag_2,860,15,Other
diag_2,783,15,Other
diag_2,555,15,Other
diag_2,386,14,Other
diag_2,680,14,Other
diag_2,238,14,Other
diag_2,566,14,Other
diag_2,716,14,Other
diag_2,E879,14,Other
diag_2,920,14,Other
diag_2,E880,13,Other
diag_2,840,13,Other
diag_2,607,13,Other
diag_2,601,13,Other
diag_2,394,13,Other
diag_2,250.53,13,Other
diag_2,319,13,Other
